product_name,product_link,price,seller,free_shipping,rating
Ncx20 i5 12400F 32GB,https://www.trendyol.com/zeiron/ncx20-i5-12400f-32gb-512gb-m-2-ssd-rtx3050-24-165hz-oyuncu-masaustu-bilgisayar-p-824367501?boutiqueId=61&merchantId=127037,0.0,Zeiron,False,81.0
Tablet Pc Olıver Intel,https://www.trendyol.com/onda/tablet-pc-oliver-intel-n5030-3-10-ghz-8gb-ram-128gb-ssd-10-1-fhd-ips-dokunmatik-win11-pro-p-827304166?boutiqueId=61&merchantId=258171,0.0,Onda,False,17.0
"13"" MacBook Air: Apple",https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-8-core-gpu-16gb-256gb-ssd-gok-mavisi-p-904728352?boutiqueId=681310&merchantId=968,0.0,Apple,False,4.0
Katana 17 B13vgk-1287xtr,https://www.trendyol.com/msi/katana-17-b13vgk-1287xtr-i7-13620h-16gb-ddr5-1tb-ssd-8gb-rtx4070-gddr6-17-3-144hz-freedos-full-p-834278152?boutiqueId=61&merchantId=161002,0.0,MSI,False,8.0
Huma H4 V5.1.4 Intel,https://www.trendyol.com/monster/huma-h4-v5-1-4-intel-core-i5-1235u-8-gb-ram-500-gb-ssd-freedos-14-1-fhd-rose-gold-p-456347007?boutiqueId=61&merchantId=105286,0.0,MONSTER,False,161.0
Alfa 720c Intel,https://www.trendyol.com/hometech/alfa-720c-intel-celeron-15-6-inc-128-gb-dizustu-bilgisayar-siyah-p-838640697?boutiqueId=61&merchantId=369870,0.0,Hometech,False,7.0
"13"" MacBook Air: Apple",https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-10-core-gpu-16gb-512gb-ssd-gece-yarisi-p-904728376?boutiqueId=681310&merchantId=968,0.0,Apple,False,1.0
MacBook Pro 16'' M2 Max,https://www.trendyol.com/apple/macbook-pro-16-m2-max-32gb-1tb-ssd-space-gray-laptop-apple-turkiye-garantili-mnwa3tu-a-p-637235161?boutiqueId=61&merchantId=391109,0.0,Apple,False,8.0
Matebook D16 Intel,https://www.trendyol.com/huawei/matebook-d16-intel-core-i5-12450h-8gb-512gb-ssd-windows-11-home-16-tasinabilir-bilgisayar-p-799960375?boutiqueId=61&merchantId=727717,0.0,Huawei,False,47.0
Inspiron 15 3520,https://www.trendyol.com/dell/inspiron-15-3520-i5-1235u-8gb-ram-256gb-ssd-15-6-inc-fhd-120hz-ubuntu-i35202009u-p-887090119?boutiqueId=61&merchantId=121474,0.0,Dell,False,39.0
"14"" MacBook Pro: Apple",https://www.trendyol.com/apple/14-macbook-pro-apple-m4-chip-with-10-core-cpu-and-10-core-gpu-16gb-1tb-ssd-gumus-p-873005222?boutiqueId=681310&merchantId=968,0.0,Apple,False,1.0
